2024-10-23 22:52:06 [Thread-0] INFO  by.bsuir.domain.Ship - [UNLOADING] [2391.8904949102866 tons] The ship №0 added to the dock "0'st('th) dock"
2024-10-23 22:52:07 [Thread-4] INFO  by.bsuir.domain.Ship - [LOADING] [2674.614710765775 tons] The ship №4 added to the dock "1'st('th) dock"
2024-10-23 22:52:09 [Thread-4] INFO  by.bsuir.domain.Ship - [LOADED] The ship №4 left the port
2024-10-23 22:52:10 [Thread-0] INFO  by.bsuir.domain.Ship - [UNLOADED] The ship №0 left the port
2024-10-23 22:52:10 [Thread-1] INFO  by.bsuir.domain.Ship - [LOADING] [1129.238437277759 tons] The ship №1 added to the dock "0'st('th) dock"
2024-10-23 22:52:12 [Thread-0] INFO  by.bsuir.domain.Ship - [UNLOADING] [3758.9752977036205 tons] The ship №3 added to the dock "1'st('th) dock"
2024-10-23 22:52:13 [Thread-1] INFO  by.bsuir.domain.Ship - [LOADED] The ship №1 left the port
2024-10-23 22:52:13 [Thread-0] INFO  by.bsuir.domain.Ship - [UNLOADED] The ship №3 left the port
2024-10-23 22:52:15 [Thread-0] INFO  by.bsuir.domain.Ship - [LOADING] [1792.0593648001397 tons] The ship №2 added to the dock "0'st('th) dock"
2024-10-23 22:52:15 [Thread-0] INFO  by.bsuir.domain.Ship - [LOADED] The ship №2 left the port
2024-10-23 22:54:16 [Thread-2] INFO  by.bsuir.domain.Ship - [UNLOADING] [385.23680849064147 tons] The ship №2 added to the dock "0'st('th) dock"
2024-10-23 22:54:19 [Thread-2] INFO  by.bsuir.domain.Ship - [UNLOADED] The ship №2 left the port
2024-10-23 22:54:19 [Thread-3] INFO  by.bsuir.domain.Ship - [LOADING] [4868.135805131152 tons] The ship №3 added to the dock "0'st('th) dock"
2024-10-23 22:54:21 [Thread-3] INFO  by.bsuir.domain.Ship - [LOADED] The ship №3 left the port
2024-10-23 22:54:22 [Thread-2] INFO  by.bsuir.domain.Ship - [LOADING] [3608.5177355547194 tons] The ship №1 added to the dock "0'st('th) dock"
2024-10-23 22:54:26 [Thread-2] INFO  by.bsuir.domain.Ship - [LOADED] The ship №1 left the port
2024-10-23 22:54:28 [Thread-2] INFO  by.bsuir.domain.Ship - [UNLOADING] [1071.840065451937 tons] The ship №0 added to the dock "0'st('th) dock"
2024-10-23 22:54:31 [Thread-2] INFO  by.bsuir.domain.Ship - [UNLOADED] The ship №0 left the port
